benchmark,time_s,depth_m,theta_EFV,theta_reference,psi_EFV_m,psi_reference_m,reference_source
Caviedes,7200.0,0.01,0.223541406572294,0.2235672543000748,-0.5811144589895633,-0.580958294814689,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Caviedes-Voullieme, Garcia-Navarro and Murillo (2013), https://doi.org/10.1016/j.jhydrol.2012.12.008."
Caviedes,7200.0,0.03,0.2268420909993664,0.226868211484438,-0.5616262925578002,-0.5614756157739549,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Caviedes-Voullieme, Garcia-Navarro and Murillo (2013), https://doi.org/10.1016/j.jhydrol.2012.12.008."
Caviedes,7200.0,0.05,0.2302283055848223,0.2302538732500578,-0.5425317899586625,-0.5423908888692386,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Caviedes-Voullieme, Garcia-Navarro and Murillo (2013), https://doi.org/10.1016/j.jhydrol.2012.12.008."
Caviedes,7200.0,0.07,0.2337197830593817,0.2337440720953877,-0.523719567111411,-0.5235916392763927,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Caviedes-Voullieme, Garcia-Navarro and Murillo (2013), https://doi.org/10.1016/j.jhydrol.2012.12.008."
Caviedes,7200.0,0.09,0.2373373858958675,0.237359777633612,-0.5050889756344861,-0.5049762348847879,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Caviedes-Voullieme, Garcia-Navarro and Murillo (2013), https://doi.org/10.1016/j.jhydrol.2012.12.008."
Caviedes,7200.0,0.11,0.2411023901317244,0.2411223778568918,-0.4865525180491183,-0.4864563008141487,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Caviedes-Voullieme, Garcia-Navarro and Murillo (2013), https://doi.org/10.1016/j.jhydrol.2012.12.008."
Caviedes,7200.0,0.13,0.2450358375875607,0.245053028610503,-0.468037108446007,-0.4679579824983898,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Caviedes-Voullieme, Garcia-Navarro and Murillo (2013), https://doi.org/10.1016/j.jhydrol.2012.12.008."
Caviedes,7200.0,0.15,0.249157937453705,0.2491720520907394,-0.4494844184955961,-0.4494222965300188,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Caviedes-Voullieme, Garcia-Navarro and Murillo (2013), https://doi.org/10.1016/j.jhydrol.2012.12.008."
Caviedes,7200.0,0.17,0.2534875008998755,0.2534983681484641,-0.430850476048676,-0.4308047343167477,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Caviedes-Voullieme, Garcia-Navarro and Murillo (2013), https://doi.org/10.1016/j.jhydrol.2012.12.008."
Caviedes,7200.0,0.19,0.2580413905552819,0.2580489405464729,-0.4121046579224047,-0.4120742576380879,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Caviedes-Voullieme, Garcia-Navarro and Murillo (2013), https://doi.org/10.1016/j.jhydrol.2012.12.008."
Caviedes,7200.0,0.21,0.262833961174725,0.2628382148495559,-0.3932282188950066,-0.3932118261448711,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Caviedes-Voullieme, Garcia-Navarro and Murillo (2013), https://doi.org/10.1016/j.jhydrol.2012.12.008."
Caviedes,7200.0,0.23,0.2678764600138273,0.2678775168022068,-0.3742125074935015,-0.3742086063922059,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Caviedes-Voullieme, Garcia-Navarro and Murillo (2013), https://doi.org/10.1016/j.jhydrol.2012.12.008."
Caviedes,7200.0,0.25,0.2731763472784991,0.273174371783734,-0.355057022842829,-0.3550640168071369,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Caviedes-Voullieme, Garcia-Navarro and Murillo (2013), https://doi.org/10.1016/j.jhydrol.2012.12.008."
Caviedes,7200.0,0.27,0.278736490567091,0.2787316993430433,-0.3357674587298777,-0.3357837558165502,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Caviedes-Voullieme, Garcia-Navarro and Murillo (2013), https://doi.org/10.1016/j.jhydrol.2012.12.008."
Caviedes,7200.0,0.29,0.2845541846810948,0.284546834127848,-0.3163538599150434,-0.3163779398258468,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Caviedes-Voullieme, Garcia-Navarro and Murillo (2013), https://doi.org/10.1016/j.jhydrol.2012.12.008."
Caviedes,7200.0,0.31,0.2906199519111381,0.2906103281330764,-0.2968289847519273,-0.2968594469345053,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Caviedes-Voullieme, Garcia-Navarro and Murillo (2013), https://doi.org/10.1016/j.jhydrol.2012.12.008."
Caviedes,7200.0,0.33,0.2969160906908983,0.296904501894159,-0.2772069327359941,-0.2772425266454957,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Caviedes-Voullieme, Garcia-Navarro and Murillo (2013), https://doi.org/10.1016/j.jhydrol.2012.12.008."
Caviedes,7200.0,0.35,0.3034149657827685,0.3034017374724163,-0.2575020612733851,-0.2575417010751608,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Caviedes-Voullieme, Garcia-Navarro and Murillo (2013), https://doi.org/10.1016/j.jhydrol.2012.12.008."
Caviedes,7200.0,0.37,0.3100770750128592,0.3100625479087076,-0.2377281870434103,-0.2377709537442487,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Caviedes-Voullieme, Garcia-Navarro and Murillo (2013), https://doi.org/10.1016/j.jhydrol.2012.12.008."
Caviedes,7200.0,0.39,0.3168489902152783,0.3168335204523351,-0.2178980461942462,-0.217943180416433,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Caviedes-Voullieme, Garcia-Navarro and Murillo (2013), https://doi.org/10.1016/j.jhydrol.2012.12.008."
Caviedes,7200.0,0.41,0.3236613562311128,0.3236453170518323,-0.1980229747440772,-0.1980698632061469,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Caviedes-Voullieme, Garcia-Navarro and Murillo (2013), https://doi.org/10.1016/j.jhydrol.2012.12.008."
Caviedes,7200.0,0.43,0.3304272398526857,0.3304110236449577,-0.1781127650486637,-0.1781609234182948,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Caviedes-Voullieme, Garcia-Navarro and Murillo (2013), https://doi.org/10.1016/j.jhydrol.2012.12.008."
Caviedes,7200.0,0.45,0.3370412398828033,0.3370252591025264,-0.1581756543603181,-0.1582247086225101,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Caviedes-Voullieme, Garcia-Navarro and Murillo (2013), https://doi.org/10.1016/j.jhydrol.2012.12.008."
Caviedes,7200.0,0.47,0.3433798751761965,0.3433645604869461,-0.1382184054572449,-0.1382680733922635,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Caviedes-Voullieme, Garcia-Navarro and Murillo (2013), https://doi.org/10.1016/j.jhydrol.2012.12.008."
