benchmark,time_s,depth_m,theta_EFV,theta_reference,psi_EFV_m,psi_reference_m,reference_source
Celia,21600.0,0.025,0.1962497515065273,0.196237293860334,-0.7878172958153974,-0.7879363917085825,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Celia, Bouloutas and Zarba (1990), https://doi.org/10.1029/WR026i007p01483."
Celia,21600.0,0.075,0.1903492221015585,0.1903177156496259,-0.8477186963715151,-0.8480586021180109,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Celia, Bouloutas and Zarba (1990), https://doi.org/10.1029/WR026i007p01483."
Celia,21600.0,0.125,0.1818266945460404,0.1817666792877183,-0.9488444205080117,-0.9496289447504808,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Celia, Bouloutas and Zarba (1990), https://doi.org/10.1029/WR026i007p01483."
Celia,21600.0,0.175,0.1693122930883938,0.1692119145013354,-1.14122682606375,-1.143047723879443,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Celia, Bouloutas and Zarba (1990), https://doi.org/10.1029/WR026i007p01483."
Celia,21600.0,0.225,0.1510433302428115,0.1509016014682571,-1.5912810386298082,-1.5960550091712236,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Celia, Bouloutas and Zarba (1990), https://doi.org/10.1029/WR026i007p01483."
Celia,21600.0,0.275,0.1281757070920365,0.1280407955147773,-3.0187379112998274,-3.0345298494679542,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Celia, Bouloutas and Zarba (1990), https://doi.org/10.1029/WR026i007p01483."
Celia,21600.0,0.325,0.111244328142428,0.1112358200153221,-8.584184674149446,-8.592102066508584,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Celia, Bouloutas and Zarba (1990), https://doi.org/10.1029/WR026i007p01483."
Celia,21600.0,0.375,0.109940166502766,0.1099402457921964,-9.995709995191143,-9.995610091359271,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Celia, Bouloutas and Zarba (1990), https://doi.org/10.1029/WR026i007p01483."
Celia,21600.0,0.425,0.10993676977664,0.109936770163235,-9.999991707255427,-9.999991219728203,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Celia, Bouloutas and Zarba (1990), https://doi.org/10.1029/WR026i007p01483."
Celia,21600.0,0.475,0.109936763212902,0.1099367632140979,-9.999999984661644,-9.999999983153517,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Celia, Bouloutas and Zarba (1990), https://doi.org/10.1029/WR026i007p01483."
Celia,21600.0,0.525,0.1099367632007602,0.1099367632007638,-9.999999999973332,-9.9999999999689,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Celia, Bouloutas and Zarba (1990), https://doi.org/10.1029/WR026i007p01483."
Celia,21600.0,0.5750000000000001,0.1099367632007391,0.1099367632007391,-10.000000000000004,-9.99999999999998,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Celia, Bouloutas and Zarba (1990), https://doi.org/10.1029/WR026i007p01483."
Celia,21600.0,0.625,0.1099367632007391,0.1099367632007391,-10.000000000000004,-10.0,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Celia, Bouloutas and Zarba (1990), https://doi.org/10.1029/WR026i007p01483."
Celia,21600.0,0.675,0.1099367632007391,0.1099367632007391,-10.000000000000004,-10.0,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Celia, Bouloutas and Zarba (1990), https://doi.org/10.1029/WR026i007p01483."
Celia,21600.0,0.7250000000000001,0.1099367632007391,0.1099367632007391,-10.000000000000004,-10.0,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Celia, Bouloutas and Zarba (1990), https://doi.org/10.1029/WR026i007p01483."
Celia,21600.0,0.775,0.1099367632007391,0.1099367632007391,-10.000000000000004,-10.0,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Celia, Bouloutas and Zarba (1990), https://doi.org/10.1029/WR026i007p01483."
Celia,21600.0,0.8250000000000001,0.1099367632007391,0.1099367632007391,-10.000000000000004,-10.0,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Celia, Bouloutas and Zarba (1990), https://doi.org/10.1029/WR026i007p01483."
Celia,21600.0,0.875,0.1099367632007391,0.1099367632007391,-10.000000000000004,-9.999999999999996,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Celia, Bouloutas and Zarba (1990), https://doi.org/10.1029/WR026i007p01483."
Celia,21600.0,0.925,0.1099367632007391,0.1099367632007391,-10.000000000000004,-10.0,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Celia, Bouloutas and Zarba (1990), https://doi.org/10.1029/WR026i007p01483."
Celia,21600.0,0.975,0.1099367632007391,0.1099367632007391,-10.000000000000004,-10.0,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Celia, Bouloutas and Zarba (1990), https://doi.org/10.1029/WR026i007p01483."
