benchmark,time_s,depth_m,theta_EFV,theta_reference,psi_EFV_m,psi_reference_m,reference_source
Forsyth,8640000.0,0.05,0.1523703872542791,0.1523797948359222,-3.002377831610311,-3.001970699029087,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,8640000.0,0.15,0.1545144365254814,0.1545242029232318,-2.9114174330539275,-2.911011343346825,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,8640000.0,0.25,0.1565521513573523,0.1565622451037038,-2.828251155272203,-2.827846874536045,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,8640000.0,0.35,0.1584931566804934,0.1585035501382833,-2.7518550848155003,-2.751453174936849,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,8640000.0,0.45,0.16034587878442,0.1603565475283643,-2.6813794268577853,-2.6809802979403243,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,8640000.0,0.55,0.1621177363104979,0.1621286586221257,-2.616112715781987,-2.6157166645072856,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,8640000.0,0.65,0.163815296468329,0.1638264529194844,-2.555454475948323,-2.5550617139817158,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,8640000.0,0.75,0.1654444039007874,0.1654557770066041,-2.4988940903592205,-2.4985047656309667,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,8640000.0,0.8500000000000001,0.1670102879374811,0.1670218618640382,-2.445994286837214,-2.445608499673773,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,8640000.0,0.95,0.1685176527151969,0.1685294130302554,-2.3963780978453944,-2.395995913348385,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,8640000.0,1.05,0.169970753697349,0.1699826871549691,-2.3497184603635963,-2.34933991803832,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,8640000.0,1.15,0.17137346341277,0.1713855577644204,-2.3057298407426945,-2.305354962103716,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,8640000.0,1.25,0.1727293286991851,0.1727415725252987,-2.264161425234383,-2.263790219924159,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,8640000.0,1.35,0.1740416213360439,0.1740540038929922,-2.224791529193108,-2.2244240000138404,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,8640000.0,1.4500000000000002,0.1753133836543027,0.1753258947325333,-2.1874229597180306,-2.18705910687998,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,8640000.0,1.55,0.1765474704949351,0.1765601002845721,-2.151879126569068,-2.1515189513894875,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,8640000.0,1.65,0.1777465887371915,0.1777593276978138,-2.118000740640115,-2.1176442488768714,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,8640000.0,1.75,0.1789133355203037,0.1789261742519306,-2.085642972353768,-2.085290177320975,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,8640000.0,1.85,0.180050236230261,0.1800631653427819,-2.0546729670549464,-2.05432389264159,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,8640000.0,1.95,0.181159783310587,0.1811727932890358,-2.0249676329753346,-2.0246223166677937,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,8640000.0,2.0500000000000003,0.1822444769787985,0.1822575580419886,-1.9964116311731828,-1.9960701271674293,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,8640000.0,2.15,0.183306868985603,0.1833200109357597,-1.968895507179444,-1.968557889655817,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,8640000.0,2.25,0.1843496106398482,0.1843628027009828,-1.942313911782117,-1.9419802784045883,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,8640000.0,2.35,0.1853755064367133,0.1853887370796568,-1.9165638641655411,-1.9162343398553865,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,8640000.0,2.45,0.1863875747672466,0.18640083151951,-1.891543015097379,-1.8912177561174224,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,8640000.0,2.5500000000000003,0.1873891173503085,0.1874023865893133,-1.8671478716013397,-1.8668270699693064,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,8640000.0,2.6500000000000004,0.1883837992072474,0.1883970659360418,-1.8432719481730624,-1.842955836398961,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,8640000.0,2.75,0.1893757411855986,0.189388988791013,-1.8198038137827204,-1.819492669892976,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,8640000.0,2.85,0.1903696272158654,0.1903828372102586,-1.7966250095022192,-1.796319162269603,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,8640000.0,2.95,0.1913708286328218,0.1913839803822354,-1.773607819646685,-1.7733076538868178,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,8640000.0,3.0500000000000003,0.1923855479777401,0.1923986184215414,-1.7506128911431398,-1.7503188528616604,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,8640000.0,3.1500000000000004,0.1934209846760051,0.1934339480460978,-1.7274867130417548,-1.7271993141181126,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,8640000.0,3.25,0.1944855247961613,0.1944983523476872,-1.7040589925589402,-1.7037788145313957,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,8640000.0,3.35,0.1955889566650946,0.1956016164353551,-1.6801399978613174,-1.6798676942326098,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,8640000.0,3.45,0.1967427133469385,0.1967551699650286,-1.655517982965122,-1.6552542792846612,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,8640000.0,3.5500000000000003,0.1979601417853239,0.1979723563615559,-1.6299568680757928,-1.629702558883558,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,8640000.0,3.65,0.1992567966534629,0.199268726784717,-1.6031944194753704,-1.6029503610366234,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,8640000.0,3.75,0.2006507545674782,0.2006623545013599,-1.5749412540895644,-1.5747083517455305,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,8640000.0,3.85,0.2021629412608531,0.2021741622668252,-1.5448810782318152,-1.5446602671911354,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,8640000.0,3.95,0.2038174606557224,0.2038282516533722,-1.5126726445798897,-1.51246486314963,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,8640000.0,4.05,0.2056419107141813,0.2056522192051599,-1.4779539551270584,-1.4777601098091215,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,8640000.0,4.15,0.207667666916702,0.2076774402548647,-1.4403492212497786,-1.4401701438821082,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,8640000.0,4.25,0.2099301107908019,0.2099392978021221,-1.3994789797347993,-1.399315377972753,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,8640000.0,4.3500000000000005,0.2124687787796573,0.2124773317078948,-1.3549735211128904,-1.3548259249859052,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,8640000.0,4.45,0.2153274063715365,0.2153352830780351,-1.3064893930746413,-1.3063581019556474,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,8640000.0,4.55,0.2185538435270271,0.2185610098175143,-1.253728207443975,-1.2536132432267229,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,8640000.0,4.65,0.2221998181326351,0.222206250028974,-1.196456363565835,-1.1963574367235732,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,8640000.0,4.75,0.2263205197169757,0.2263262054499862,-1.1345237212662915,-1.1344402162929184,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,8640000.0,4.8500000000000005,0.2309739568206948,0.2309788983056489,-1.0678788759064513,-1.0678098610762068,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,8640000.0,4.95,0.2362199926468394,0.2362242062277932,-0.996578675266208,-0.99652293867151,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,8640000.0,5.050000000000001,0.2421188601044087,0.2421223764215313,-0.9207900840737306,-0.9207461939479592,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,8640000.0,5.15,0.248728760077262,0.2487316230160222,-0.840783436486273,-0.8407498197475655,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,8640000.0,5.25,0.2561017932589033,0.2561040580637463,-0.7569173581863037,-0.756892387992971,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,8640000.0,5.3500000000000005,0.2642768633203703,0.2642785940744608,-0.6696169064043707,-0.6695989881507549,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,8640000.0,5.45,0.2732671450592964,0.2732684118237616,-0.579347455516674,-0.5793351014580806,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,8640000.0,5.550000000000001,0.283037945707026,0.2830388216643322,-0.4865873128453176,-0.4865791981123823,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,8640000.0,5.65,0.2934678021900556,0.293468361143497,-0.3918018971184789,-0.3917968934476022,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,8640000.0,5.75,0.3042804241918314,0.3042807387369338,-0.2954215889080027,-0.2954187759531514,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,8640000.0,5.8500000000000005,0.3149240279364724,0.3149241685342931,-0.1978239944742548,-0.1978226510529944,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,8640000.0,5.95,0.3243337032315622,0.3243337383378883,-0.0993175178100976,-0.0993170949475741,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
