benchmark,time_s,depth_m,theta_EFV,theta_reference,psi_EFV_m,psi_reference_m,reference_source
Hills,432000.0,0.005,0.1567277254346277,0.1567198602275803,-0.7160458650821278,-0.7160888170710848,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Hills, Porro, Hudson and Wierenga (1989), https://doi.org/10.1029/WR025i006p01259."
Hills,432000.0,0.015,0.1574910636707696,0.1574828365874588,-0.711897179974908,-0.7119416845918812,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Hills, Porro, Hudson and Wierenga (1989), https://doi.org/10.1029/WR025i006p01259."
Hills,432000.0,0.025,0.1582944215602403,0.1582858231051179,-0.7075730698242899,-0.7076191255727432,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Hills, Porro, Hudson and Wierenga (1989), https://doi.org/10.1029/WR025i006p01259."
Hills,432000.0,0.035,0.1591393402696133,0.1591303610704765,-0.7030709882584893,-0.7031185897025962,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Hills, Porro, Hudson and Wierenga (1989), https://doi.org/10.1029/WR025i006p01259."
Hills,432000.0,0.045,0.1600273733156124,0.1600180041440493,-0.6983887696284565,-0.6984379073195565,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Hills, Porro, Hudson and Wierenga (1989), https://doi.org/10.1029/WR025i006p01259."
Hills,432000.0,0.055,0.160960083511633,0.1609503153018253,-0.6935246521185998,-0.6935753125574373,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Hills, Porro, Hudson and Wierenga (1989), https://doi.org/10.1029/WR025i006p01259."
Hills,432000.0,0.065,0.1619390398849251,0.1619288637505248,-0.6884772979727194,-0.6885294636095218,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Hills, Porro, Hudson and Wierenga (1989), https://doi.org/10.1029/WR025i006p01259."
Hills,432000.0,0.075,0.162965814594547,0.1629552218433815,-0.683245810440444,-0.6832994597142231,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Hills, Porro, Hudson and Wierenga (1989), https://doi.org/10.1029/WR025i006p01259."
Hills,432000.0,0.085,0.1640419798793352,0.1640309620257414,-0.6778297470936461,-0.6778848545114027,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Hills, Porro, Hudson and Wierenga (1989), https://doi.org/10.1029/WR025i006p01259."
Hills,432000.0,0.095,0.1651691050632246,0.165157653837876,-0.672229129217527,-0.6722856654732067,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Hills, Porro, Hudson and Wierenga (1989), https://doi.org/10.1029/WR025i006p01259."
Hills,432000.0,0.105,0.166348753642291,0.1663368609994363,-0.6664444470457552,-0.66650237917808,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Hills, Porro, Hudson and Wierenga (1989), https://doi.org/10.1029/WR025i006p01259."
Hills,432000.0,0.115,0.167582480473783,0.1675701385959057,-0.6604766606820822,-0.6605359522694846,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Hills, Porro, Hudson and Wierenga (1989), https://doi.org/10.1029/WR025i006p01259."
Hills,432000.0,0.125,0.1688718290823026,0.1688590303822661,-0.6543271966294778,-0.6543878080197133,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Hills, Porro, Hudson and Wierenga (1989), https://doi.org/10.1029/WR025i006p01259."
Hills,432000.0,0.135,0.1702183290920801,0.17020506621292,-0.6479979399304774,-0.6480598285017146,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Hills, Porro, Hudson and Wierenga (1989), https://doi.org/10.1029/WR025i006p01259."
Hills,432000.0,0.145,0.1716234937871832,0.1716097595997908,-0.6414912220058663,-0.6415543424554246,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Hills, Porro, Hudson and Wierenga (1989), https://doi.org/10.1029/WR025i006p01259."
Hills,432000.0,0.155,0.1730888177935422,0.1730746053925621,-0.634809804360716,-0.6348741090171249,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Hills, Porro, Hudson and Wierenga (1989), https://doi.org/10.1029/WR025i006p01259."
Hills,432000.0,0.165,0.1746157748679822,0.1746010775663306,-0.6279568584045259,-0.6280222975581659,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Hills, Porro, Hudson and Wierenga (1989), https://doi.org/10.1029/WR025i006p01259."
Hills,432000.0,0.175,0.1762058157701959,0.176190627092693,-0.6209359417033002,-0.621002463950567,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Hills, Porro, Hudson and Wierenga (1989), https://doi.org/10.1029/WR025i006p01259."
Hills,432000.0,0.185,0.1778603661839155,0.1778446798605978,-0.6137509710435662,-0.613818523639388,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Hills, Porro, Hudson and Wierenga (1989), https://doi.org/10.1029/WR025i006p01259."
