benchmark,time_s,depth_m,theta_EFV,theta_reference,psi_EFV_m,psi_reference_m,reference_source
Miller,194400.0,0.025,0.43,0.43,0.0978962180952427,0.0978959793298594,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Miller, Williams, Kelley and Tocci (1998), https://doi.org/10.1029/98WR01673."
Miller,194400.0,0.075,0.43,0.43,0.0957924597690541,0.0957919835420684,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Miller, Williams, Kelley and Tocci (1998), https://doi.org/10.1029/98WR01673."
Miller,194400.0,0.125,0.43,0.43,0.0936887484619119,0.0936880373816914,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Miller, Williams, Kelley and Tocci (1998), https://doi.org/10.1029/98WR01673."
Miller,194400.0,0.175,0.43,0.43,0.0915851073380372,0.0915841653191388,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Miller, Williams, Kelley and Tocci (1998), https://doi.org/10.1029/98WR01673."
Miller,194400.0,0.225,0.43,0.43,0.0894815591470781,0.0894803914126766,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Miller, Williams, Kelley and Tocci (1998), https://doi.org/10.1029/98WR01673."
Miller,194400.0,0.275,0.43,0.43,0.0873781260855694,0.0873767391706387,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Miller, Williams, Kelley and Tocci (1998), https://doi.org/10.1029/98WR01673."
Miller,194400.0,0.325,0.43,0.43,0.0852748296580928,0.0852732314134592,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Miller, Williams, Kelley and Tocci (1998), https://doi.org/10.1029/98WR01673."
Miller,194400.0,0.375,0.43,0.43,0.0831716905380636,0.0831698901351284,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Miller, Williams, Kelley and Tocci (1998), https://doi.org/10.1029/98WR01673."
Miller,194400.0,0.425,0.43,0.43,0.0810687284280721,0.0810667363644474,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Miller, Williams, Kelley and Tocci (1998), https://doi.org/10.1029/98WR01673."
Miller,194400.0,0.475,0.43,0.43,0.0789659619197041,0.0789637900254976,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Miller, Williams, Kelley and Tocci (1998), https://doi.org/10.1029/98WR01673."
Miller,194400.0,0.525,0.43,0.43,0.0768634083527716,0.0768610697977426,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Miller, Williams, Kelley and Tocci (1998), https://doi.org/10.1029/98WR01673."
Miller,194400.0,0.5750000000000001,0.43,0.43,0.0747610836738796,0.0747585929752852,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Miller, Williams, Kelley and Tocci (1998), https://doi.org/10.1029/98WR01673."
Miller,194400.0,0.625,0.43,0.43,0.0726590022942612,0.0726563753254395,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Miller, Williams, Kelley and Tocci (1998), https://doi.org/10.1029/98WR01673."
Miller,194400.0,0.675,0.43,0.43,0.07055717694681,0.0705544309465822,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Miller, Williams, Kelley and Tocci (1998), https://doi.org/10.1029/98WR01673."
Miller,194400.0,0.7250000000000001,0.43,0.43,0.0684556185422417,0.0684527721249183,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Miller, Williams, Kelley and Tocci (1998), https://doi.org/10.1029/98WR01673."
Miller,194400.0,0.775,0.43,0.43,0.0663543360243191,0.0663514091904826,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Miller, Williams, Kelley and Tocci (1998), https://doi.org/10.1029/98WR01673."
Miller,194400.0,0.8250000000000001,0.43,0.43,0.0642533362240729,0.0642503503720719,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Miller, Williams, Kelley and Tocci (1998), https://doi.org/10.1029/98WR01673."
Miller,194400.0,0.875,0.43,0.43,0.0621526237129546,0.0621496016510104,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Miller, Williams, Kelley and Tocci (1998), https://doi.org/10.1029/98WR01673."
Miller,194400.0,0.925,0.43,0.43,0.0600522006548584,0.0600491666139125,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Miller, Williams, Kelley and Tocci (1998), https://doi.org/10.1029/98WR01673."
Miller,194400.0,0.975,0.43,0.43,0.0579520666569485,0.0579490463041066,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Miller, Williams, Kelley and Tocci (1998), https://doi.org/10.1029/98WR01673."
Miller,194400.0,1.025,0.43,0.43,0.055852218619233,0.0558492390718875,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Miller, Williams, Kelley and Tocci (1998), https://doi.org/10.1029/98WR01673."
Miller,194400.0,1.075,0.43,0.43,0.0537526505828236,0.0537497404234072,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Miller, Williams, Kelley and Tocci (1998), https://doi.org/10.1029/98WR01673."
Miller,194400.0,1.125,0.43,0.43,0.0516533535768231,0.05165054286812,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Miller, Williams, Kelley and Tocci (1998), https://doi.org/10.1029/98WR01673."
Miller,194400.0,1.175,0.43,0.43,0.0495543154637843,0.0495516357648874,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Miller, Williams, Kelley and Tocci (1998), https://doi.org/10.1029/98WR01673."
Miller,194400.0,1.225,0.43,0.43,0.0474555207836846,0.0474530051665489,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Miller, Williams, Kelley and Tocci (1998), https://doi.org/10.1029/98WR01673."
Miller,194400.0,1.275,0.43,0.43,0.0453569505963614,0.0453546336628875,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Miller, Williams, Kelley and Tocci (1998), https://doi.org/10.1029/98WR01673."
Miller,194400.0,1.3250000000000002,0.43,0.43,0.0432585823223551,0.0432565002220615,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Miller, Williams, Kelley and Tocci (1998), https://doi.org/10.1029/98WR01673."
Miller,194400.0,1.375,0.43,0.43,0.0411603895821082,0.041158580030375,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Miller, Williams, Kelley and Tocci (1998), https://doi.org/10.1029/98WR01673."
Miller,194400.0,1.425,0.43,0.43,0.0390623420334672,0.0390608443303174,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Miller, Williams, Kelley and Tocci (1998), https://doi.org/10.1029/98WR01673."
