benchmark,time_s,depth_m,theta_EFV,theta_reference,psi_EFV_m,psi_reference_m,reference_source
Warrick,1000800.0,0.025,0.495,0.495,5.621582410041026e-05,5.665915878539712e-05,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Warrick (2003), Soil Water Dynamics, https://doi.org/10.1093/oso/9780195126051.001.0001."
Warrick,1000800.0,0.075,0.495,0.495,0.0001123596229608,0.0001132486914253,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Warrick (2003), Soil Water Dynamics, https://doi.org/10.1093/oso/9780195126051.001.0001."
Warrick,1000800.0,0.125,0.495,0.495,0.000168359009341,0.0001696986106404,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Warrick (2003), Soil Water Dynamics, https://doi.org/10.1093/oso/9780195126051.001.0001."
Warrick,1000800.0,0.175,0.495,0.495,0.0002241408718724,0.0002259382068071,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Warrick (2003), Soil Water Dynamics, https://doi.org/10.1093/oso/9780195126051.001.0001."
Warrick,1000800.0,0.225,0.495,0.495,0.0002796310126747,0.0002818956865172,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Warrick (2003), Soil Water Dynamics, https://doi.org/10.1093/oso/9780195126051.001.0001."
Warrick,1000800.0,0.275,0.495,0.495,0.0003347537845857,0.0003374978111035,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Warrick (2003), Soil Water Dynamics, https://doi.org/10.1093/oso/9780195126051.001.0001."
Warrick,1000800.0,0.325,0.495,0.495,0.0003894317278717,0.0003926695360529,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Warrick (2003), Soil Water Dynamics, https://doi.org/10.1093/oso/9780195126051.001.0001."
Warrick,1000800.0,0.375,0.495,0.495,0.0004435852062807,0.0004473336562598,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Warrick (2003), Soil Water Dynamics, https://doi.org/10.1093/oso/9780195126051.001.0001."
Warrick,1000800.0,0.425,0.495,0.495,0.0004971320422951,0.0005014104814325,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Warrick (2003), Soil Water Dynamics, https://doi.org/10.1093/oso/9780195126051.001.0001."
Warrick,1000800.0,0.475,0.4949990063290722,0.4949989565285776,-0.0003040321582971,-0.0003139067297684,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Warrick (2003), Soil Water Dynamics, https://doi.org/10.1093/oso/9780195126051.001.0001."
Warrick,1000800.0,0.525,0.4949233041337275,0.4949222541470486,-0.005208485126337,-0.005254999113576,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Warrick (2003), Soil Water Dynamics, https://doi.org/10.1093/oso/9780195126051.001.0001."
Warrick,1000800.0,0.5750000000000001,0.4944666891417328,0.4944622231980313,-0.0185290926528742,-0.0186306449619986,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Warrick (2003), Soil Water Dynamics, https://doi.org/10.1093/oso/9780195126051.001.0001."
Warrick,1000800.0,0.625,0.4929587167361348,0.4929457616203367,-0.0447818413194952,-0.044969405249671,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Warrick (2003), Soil Water Dynamics, https://doi.org/10.1093/oso/9780195126051.001.0001."
Warrick,1000800.0,0.675,0.4889675804690787,0.4889351515919747,-0.0921926686311117,-0.0925267899959253,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Warrick (2003), Soil Water Dynamics, https://doi.org/10.1093/oso/9780195126051.001.0001."
Warrick,1000800.0,0.7250000000000001,0.4793089819694753,0.4792323302873028,-0.1782282357042089,-0.1788464858974275,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Warrick (2003), Soil Water Dynamics, https://doi.org/10.1093/oso/9780195126051.001.0001."
Warrick,1000800.0,0.775,0.4568849821696182,0.4567118192323076,-0.3465129356207112,-0.3477786698452014,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Warrick (2003), Soil Water Dynamics, https://doi.org/10.1093/oso/9780195126051.001.0001."
Warrick,1000800.0,0.8250000000000001,0.4102181194834066,0.4099014893036139,-0.7157524866016926,-0.7185896774486468,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Warrick (2003), Soil Water Dynamics, https://doi.org/10.1093/oso/9780195126051.001.0001."
Warrick,1000800.0,0.875,0.3462415540481622,0.3459956292078597,-1.4805861417437776,-1.484595056174974,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Warrick (2003), Soil Water Dynamics, https://doi.org/10.1093/oso/9780195126051.001.0001."
Warrick,1000800.0,0.925,0.3218235620609181,0.3217940178417724,-1.9442353665643652,-1.944889883064436,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Warrick (2003), Soil Water Dynamics, https://doi.org/10.1093/oso/9780195126051.001.0001."
Warrick,1000800.0,0.975,0.3195117787415955,0.3195099389129079,-1.9962579062758845,-1.9962999700420092,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Warrick (2003), Soil Water Dynamics, https://doi.org/10.1093/oso/9780195126051.001.0001."
Warrick,1000800.0,1.025,0.3193588120727477,0.319358704265381,-1.9997588167933908,-1.999761286764651,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Warrick (2003), Soil Water Dynamics, https://doi.org/10.1093/oso/9780195126051.001.0001."
Warrick,1000800.0,1.075,0.3193489625148176,0.3193489563031319,-1.9999844949076029,-1.9999846372426224,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Warrick (2003), Soil Water Dynamics, https://doi.org/10.1093/oso/9780195126051.001.0001."
Warrick,1000800.0,1.125,0.3193483293527501,0.319348329002141,-1.9999990032922577,-1.9999990113262087,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Warrick (2003), Soil Water Dynamics, https://doi.org/10.1093/oso/9780195126051.001.0001."
Warrick,1000800.0,1.175,0.3193482886410635,0.3193482886220161,-1.9999999361711989,-1.9999999366076588,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Warrick (2003), Soil Water Dynamics, https://doi.org/10.1093/oso/9780195126051.001.0001."
Warrick,1000800.0,1.225,0.3193482858555174,0.3193482858555174,-1.9999999999999996,-2.0,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Warrick (2003), Soil Water Dynamics, https://doi.org/10.1093/oso/9780195126051.001.0001."
