benchmark,time_s,depth_m,theta_EFV,theta_reference,psi_EFV_m,psi_reference_m,reference_source
Warrick2,46800.0,0.025,0.363,0.363,0.0001122985522237,0.0001073071916666,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Warrick, Lomen and Yates (1985), https://doi.org/10.2136/sssaj1985.03615995004900010006x."
Warrick2,46800.0,0.075,0.3629978625449363,0.3629977883020235,-0.001220402049603,-0.0012479443058598,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Warrick, Lomen and Yates (1985), https://doi.org/10.2136/sssaj1985.03615995004900010006x."
Warrick2,46800.0,0.125,0.3629738345500174,0.3629733322076255,-0.0062744926631108,-0.0063529893549452,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Warrick, Lomen and Yates (1985), https://doi.org/10.2136/sssaj1985.03615995004900010006x."
Warrick2,46800.0,0.175,0.3628843233563805,0.3628827251614803,-0.0165868752046328,-0.0167364922688944,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Warrick, Lomen and Yates (1985), https://doi.org/10.2136/sssaj1985.03615995004900010006x."
Warrick2,46800.0,0.225,0.3626556065365642,0.3626517884582561,-0.0338967331860755,-0.0341428176056034,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Warrick, Lomen and Yates (1985), https://doi.org/10.2136/sssaj1985.03615995004900010006x."
Warrick2,46800.0,0.275,0.3621647918064281,0.3621568965774536,-0.0606957379643156,-0.0610736131877723,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Warrick, Lomen and Yates (1985), https://doi.org/10.2136/sssaj1985.03615995004900010006x."
Warrick2,46800.0,0.325,0.3612027926424127,0.3611877259939779,-0.100856644329257,-0.1014195849344403,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Warrick, Lomen and Yates (1985), https://doi.org/10.2136/sssaj1985.03615995004900010006x."
Warrick2,46800.0,0.375,0.3594004612136373,0.3593729068804114,-0.1609134113891113,-0.1617502954126854,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Warrick, Lomen and Yates (1985), https://doi.org/10.2136/sssaj1985.03615995004900010006x."
Warrick2,46800.0,0.425,0.356071734370364,0.3560220371590291,-0.2530779370500673,-0.2543585698608011,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Warrick, Lomen and Yates (1985), https://doi.org/10.2136/sssaj1985.03615995004900010006x."
Warrick2,46800.0,0.475,0.3498579442898001,0.3497674878533712,-0.4035421882890821,-0.4056467706849917,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Warrick, Lomen and Yates (1985), https://doi.org/10.2136/sssaj1985.03615995004900010006x."
Warrick2,46800.0,0.525,0.3379227936464049,0.3377569020062889,-0.680020106479593,-0.6839509604181592,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Warrick, Lomen and Yates (1985), https://doi.org/10.2136/sssaj1985.03615995004900010006x."
Warrick2,46800.0,0.5750000000000001,0.314936342652695,0.3146608024793997,-1.3010796953841908,-1.3098537608568377,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Warrick, Lomen and Yates (1985), https://doi.org/10.2136/sssaj1985.03615995004900010006x."
Warrick2,46800.0,0.625,0.2777723073566052,0.2774681776686332,-3.104915900211167,-3.127863132331521,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Warrick, Lomen and Yates (1985), https://doi.org/10.2136/sssaj1985.03615995004900010006x."
Warrick2,46800.0,0.675,0.2470667058942408,0.2470488501858839,-7.22025912660149,-7.224437712251816,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Warrick, Lomen and Yates (1985), https://doi.org/10.2136/sssaj1985.03615995004900010006x."
Warrick2,46800.0,0.7250000000000001,0.2440307235386985,0.2440318608226235,-7.983987078151703,-7.983679564692972,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Warrick, Lomen and Yates (1985), https://doi.org/10.2136/sssaj1985.03615995004900010006x."
Warrick2,46800.0,0.775,0.2439725992410236,0.2439726465602759,-7.999726335179795,-7.999713503515931,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Warrick, Lomen and Yates (1985), https://doi.org/10.2136/sssaj1985.03615995004900010006x."
Warrick2,46800.0,0.8250000000000001,0.2439716071221032,0.2439716084176842,-7.999995377073294,-7.999995025730282,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Warrick, Lomen and Yates (1985), https://doi.org/10.2136/sssaj1985.03615995004900010006x."
Warrick2,46800.0,0.875,0.24397159036003,0.2439715903904307,-7.999999922709372,-7.999999914465118,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Warrick, Lomen and Yates (1985), https://doi.org/10.2136/sssaj1985.03615995004900010006x."
Warrick2,46800.0,0.925,0.2439715900797223,0.243971590080383,-7.999999998724874,-7.999999998545687,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Warrick, Lomen and Yates (1985), https://doi.org/10.2136/sssaj1985.03615995004900010006x."
Warrick2,46800.0,0.975,0.2439715900750202,0.2439715900750202,-7.999999999999996,-8.0,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Warrick, Lomen and Yates (1985), https://doi.org/10.2136/sssaj1985.03615995004900010006x."
