benchmark,time_s,depth_m,theta_EFV,theta_reference,psi_EFV_m,psi_reference_m,reference_source
Zadeh,18000.0,0.01,0.4594533430182272,0.4594485100556815,-0.0090377304697688,-0.0090856070679157,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Sadegh Zadeh (2011), https://doi.org/10.1016/j.jcp.2010.10.011."
Zadeh,18000.0,0.03,0.4569442621385897,0.456916288042469,-0.0254967140773171,-0.0256381290353373,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Sadegh Zadeh (2011), https://doi.org/10.1016/j.jcp.2010.10.011."
Zadeh,18000.0,0.05,0.4496367712436844,0.44953498404394,-0.0540248593792296,-0.0543570021213481,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Sadegh Zadeh (2011), https://doi.org/10.1016/j.jcp.2010.10.011."
Zadeh,18000.0,0.07,0.4295486927195112,0.4292171903326781,-0.1089892014727696,-0.1098037463105343,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Sadegh Zadeh (2011), https://doi.org/10.1016/j.jcp.2010.10.011."
Zadeh,18000.0,0.09,0.3727712292921036,0.37180217219577,-0.2456729238451135,-0.2481623582652188,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Sadegh Zadeh (2011), https://doi.org/10.1016/j.jcp.2010.10.011."
Zadeh,18000.0,0.11,0.2477259059359136,0.2461832082637371,-0.7650694848430566,-0.7763314123197533,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Sadegh Zadeh (2011), https://doi.org/10.1016/j.jcp.2010.10.011."
Zadeh,18000.0,0.13,0.1109196975751624,0.1100556295087296,-6.154606467472322,-6.321394309772523,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Sadegh Zadeh (2011), https://doi.org/10.1016/j.jcp.2010.10.011."
Zadeh,18000.0,0.15,0.0669331678056428,0.0669269384614529,-189.53958423586465,-189.89737832137607,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Sadegh Zadeh (2011), https://doi.org/10.1016/j.jcp.2010.10.011."
Zadeh,18000.0,0.17,0.0667587732275273,0.0667587732296312,-199.99999653258428,-199.99999640060588,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Sadegh Zadeh (2011), https://doi.org/10.1016/j.jcp.2010.10.011."
Zadeh,18000.0,0.19,0.066758773172251,0.066758773172251,-200.00000000000009,-200.0,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Sadegh Zadeh (2011), https://doi.org/10.1016/j.jcp.2010.10.011."
Zadeh,18000.0,0.21,0.066758773172251,0.066758773172251,-200.00000000000009,-200.0,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Sadegh Zadeh (2011), https://doi.org/10.1016/j.jcp.2010.10.011."
Zadeh,18000.0,0.23,0.066758773172251,0.066758773172251,-200.00000000000009,-200.0,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Sadegh Zadeh (2011), https://doi.org/10.1016/j.jcp.2010.10.011."
Zadeh,18000.0,0.25,0.066758773172251,0.066758773172251,-200.00000000000009,-200.0,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Sadegh Zadeh (2011), https://doi.org/10.1016/j.jcp.2010.10.011."
Zadeh,18000.0,0.27,0.066758773172251,0.066758773172251,-200.00000000000009,-200.0,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Sadegh Zadeh (2011), https://doi.org/10.1016/j.jcp.2010.10.011."
Zadeh,18000.0,0.29,0.066758773172251,0.066758773172251,-200.00000000000009,-200.0,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Sadegh Zadeh (2011), https://doi.org/10.1016/j.jcp.2010.10.011."
Zadeh,18000.0,0.31,0.066758773172251,0.066758773172251,-200.00000000000009,-200.0,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Sadegh Zadeh (2011), https://doi.org/10.1016/j.jcp.2010.10.011."
Zadeh,18000.0,0.33,0.066758773172251,0.066758773172251,-200.00000000000009,-200.0,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Sadegh Zadeh (2011), https://doi.org/10.1016/j.jcp.2010.10.011."
