benchmark,time_s,depth_m,theta_EFV,theta_reference,psi_EFV_m,psi_reference_m,reference_source
Zeng,3600.0,0.025,0.3986243288704256,0.3986243288315487,-0.0335714478777875,-0.0335714478951111,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Zeng, Zha and Yang (2018), https://doi.org/10.1016/j.jhydrol.2018.06.069."
Zeng,3600.0,0.075,0.3986243268037687,0.3986243263974494,-0.0335714487986928,-0.0335714489797492,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Zeng, Zha and Yang (2018), https://doi.org/10.1016/j.jhydrol.2018.06.069."
Zeng,3600.0,0.125,0.3986243019207554,0.3986242982159058,-0.0335714598865963,-0.0335714615374818,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Zeng, Zha and Yang (2018), https://doi.org/10.1016/j.jhydrol.2018.06.069."
Zeng,3600.0,0.175,0.3986240093949494,0.3986239730085372,-0.0335715902361716,-0.0335716064499266,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Zeng, Zha and Yang (2018), https://doi.org/10.1016/j.jhydrol.2018.06.069."
Zeng,3600.0,0.225,0.3986210323240119,0.398620565425469,-0.0335729167873155,-0.0335731248269812,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Zeng, Zha and Yang (2018), https://doi.org/10.1016/j.jhydrol.2018.06.069."
Zeng,3600.0,0.275,0.398598117189306,0.3985922698937132,-0.0335831255511377,-0.0335857299796219,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Zeng, Zha and Yang (2018), https://doi.org/10.1016/j.jhydrol.2018.06.069."
Zeng,3600.0,0.325,0.3984241249167795,0.3983856767685673,-0.0336605259651877,-0.0336776026334617,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Zeng, Zha and Yang (2018), https://doi.org/10.1016/j.jhydrol.2018.06.069."
Zeng,3600.0,0.375,0.3776572083555271,0.377108310575255,-0.0418701389379865,-0.0420675501200752,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Zeng, Zha and Yang (2018), https://doi.org/10.1016/j.jhydrol.2018.06.069."
Zeng,3600.0,0.425,0.2208098450926875,0.2208118513577122,-0.0969579570919766,-0.0969570341945323,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Zeng, Zha and Yang (2018), https://doi.org/10.1016/j.jhydrol.2018.06.069."
Zeng,3600.0,0.475,0.0625601983695611,0.0630356884891631,-0.4321402658291343,-0.4252716176360658,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Zeng, Zha and Yang (2018), https://doi.org/10.1016/j.jhydrol.2018.06.069."
Zeng,3600.0,0.525,0.04511539567891,0.0451195775594709,-8.626146654165314,-8.445285796630483,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Zeng, Zha and Yang (2018), https://doi.org/10.1016/j.jhydrol.2018.06.069."
Zeng,3600.0,0.5750000000000001,0.0450998865868822,0.0450998865868927,-9.399999998989676,-9.399999998405052,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Zeng, Zha and Yang (2018), https://doi.org/10.1016/j.jhydrol.2018.06.069."
Zeng,3600.0,0.625,0.0451007855926213,0.0451007855926213,-9.35000000000012,-9.350000000000003,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Zeng, Zha and Yang (2018), https://doi.org/10.1016/j.jhydrol.2018.06.069."
Zeng,3600.0,0.675,0.0451016975753973,0.0451016975753973,-9.300000000000168,-9.3,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Zeng, Zha and Yang (2018), https://doi.org/10.1016/j.jhydrol.2018.06.069."
Zeng,3600.0,0.7250000000000001,0.0451026227938018,0.0451026227938018,-9.25000000000005,-9.25,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Zeng, Zha and Yang (2018), https://doi.org/10.1016/j.jhydrol.2018.06.069."
Zeng,3600.0,0.775,0.045103561513034,0.045103561513034,-9.199999999999823,-9.199999999999774,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Zeng, Zha and Yang (2018), https://doi.org/10.1016/j.jhydrol.2018.06.069."
Zeng,3600.0,0.8250000000000001,0.045104514005088,0.045104514005088,-9.149999999999888,-9.150000000000013,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Zeng, Zha and Yang (2018), https://doi.org/10.1016/j.jhydrol.2018.06.069."
Zeng,3600.0,0.875,0.0451054805489649,0.0451054805489649,-9.1000000000001,-9.099999999999351,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Zeng, Zha and Yang (2018), https://doi.org/10.1016/j.jhydrol.2018.06.069."
Zeng,3600.0,0.925,0.045106461430893,0.0451064614308929,-9.0500000000001,-9.05000000000212,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Zeng, Zha and Yang (2018), https://doi.org/10.1016/j.jhydrol.2018.06.069."
Zeng,3600.0,0.975,0.0451074569445568,0.0451074569445568,-9.000000000000034,-9.00000000000001,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Zeng, Zha and Yang (2018), https://doi.org/10.1016/j.jhydrol.2018.06.069."
Zeng,3600.0,1.025,0.0451084673913335,0.0451084673913335,-8.949999999999966,-8.949999999999987,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Zeng, Zha and Yang (2018), https://doi.org/10.1016/j.jhydrol.2018.06.069."
Zeng,3600.0,1.075,0.0451094930805395,0.0451094930805395,-8.900000000000116,-8.900000000000018,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Zeng, Zha and Yang (2018), https://doi.org/10.1016/j.jhydrol.2018.06.069."
Zeng,3600.0,1.125,0.0451105343296849,0.0451105343296861,-8.849999999999847,-8.849999999941396,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Zeng, Zha and Yang (2018), https://doi.org/10.1016/j.jhydrol.2018.06.069."
Zeng,3600.0,1.175,0.0451115914647393,0.0451115914647393,-8.79999999999991,-8.80000000000001,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Zeng, Zha and Yang (2018), https://doi.org/10.1016/j.jhydrol.2018.06.069."
Zeng,3600.0,1.225,0.0451126648204061,0.045112664820406,-8.75000000000015,-8.750000000002736,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Zeng, Zha and Yang (2018), https://doi.org/10.1016/j.jhydrol.2018.06.069."
Zeng,3600.0,1.275,0.0451137547404088,0.0451137547404087,-8.699999999999868,-8.700000000003152,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Zeng, Zha and Yang (2018), https://doi.org/10.1016/j.jhydrol.2018.06.069."
Zeng,3600.0,1.3250000000000002,0.0451148615777874,0.0451148615777873,-8.649999999999967,-8.65000000000343,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Zeng, Zha and Yang (2018), https://doi.org/10.1016/j.jhydrol.2018.06.069."
Zeng,3600.0,1.375,0.0451159856952066,0.0451159856952066,-8.599999999999996,-8.599999999999945,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Zeng, Zha and Yang (2018), https://doi.org/10.1016/j.jhydrol.2018.06.069."
Zeng,3600.0,1.425,0.0451171274652764,0.0451171274652769,-8.54999999999993,-8.549999999977484,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Zeng, Zha and Yang (2018), https://doi.org/10.1016/j.jhydrol.2018.06.069."
Zeng,3600.0,1.475,0.0451182872708848,0.0451182872708848,-8.499999999999897,-8.5,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Zeng, Zha and Yang (2018), https://doi.org/10.1016/j.jhydrol.2018.06.069."
Zeng,3600.0,1.525,0.0451194655055441,0.0451194655055441,-8.45000000000004,-8.449999999999994,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Zeng, Zha and Yang (2018), https://doi.org/10.1016/j.jhydrol.2018.06.069."
Zeng,3600.0,1.5750000000000002,0.0451206625737506,0.0451206625737506,-8.39999999999989,-8.399999999999999,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Zeng, Zha and Yang (2018), https://doi.org/10.1016/j.jhydrol.2018.06.069."
Zeng,3600.0,1.625,0.0451218788913592,0.0451218788913592,-8.350000000000112,-8.350000000000016,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Zeng, Zha and Yang (2018), https://doi.org/10.1016/j.jhydrol.2018.06.069."
Zeng,3600.0,1.675,0.0451231148859729,0.0451231148859729,-8.299999999999944,-8.299999999999997,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Zeng, Zha and Yang (2018), https://doi.org/10.1016/j.jhydrol.2018.06.069."
Zeng,3600.0,1.725,0.0451243709973474,0.0451243709973475,-8.250000000000078,-8.249999999998053,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Zeng, Zha and Yang (2018), https://doi.org/10.1016/j.jhydrol.2018.06.069."
Zeng,3600.0,1.775,0.0451256476778139,0.0451256476778139,-8.200000000000033,-8.199999999999998,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Zeng, Zha and Yang (2018), https://doi.org/10.1016/j.jhydrol.2018.06.069."
Zeng,3600.0,1.825,0.0451269453927171,0.0451269453927171,-8.150000000000055,-8.149999999999997,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Zeng, Zha and Yang (2018), https://doi.org/10.1016/j.jhydrol.2018.06.069."
Zeng,3600.0,1.875,0.0451282646208736,0.0451282646208736,-8.099999999999941,-8.1,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Zeng, Zha and Yang (2018), https://doi.org/10.1016/j.jhydrol.2018.06.069."
Zeng,3600.0,1.925,0.0451296058550469,0.0451296058550469,-8.049999999999928,-8.049999999999999,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Zeng, Zha and Yang (2018), https://doi.org/10.1016/j.jhydrol.2018.06.069."
Zeng,3600.0,1.975,0.0451309696024447,0.0451309696024447,-7.999999999999886,-7.999999999999998,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Zeng, Zha and Yang (2018), https://doi.org/10.1016/j.jhydrol.2018.06.069."
Zeng,3600.0,2.025,0.0451323563852353,0.0451323563852353,-7.949999999999969,-7.949999999999999,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Zeng, Zha and Yang (2018), https://doi.org/10.1016/j.jhydrol.2018.06.069."
Zeng,3600.0,2.075,0.0451337667410867,0.0451337667410867,-7.9,-7.899999999999995,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Zeng, Zha and Yang (2018), https://doi.org/10.1016/j.jhydrol.2018.06.069."
Zeng,3600.0,2.125,0.0451352012237288,0.0451352012237288,-7.849999999999888,-7.850000000000001,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Zeng, Zha and Yang (2018), https://doi.org/10.1016/j.jhydrol.2018.06.069."
Zeng,3600.0,2.1750000000000003,0.0451366604035392,0.0451366604035392,-7.80000000000007,-7.800000000000005,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Zeng, Zha and Yang (2018), https://doi.org/10.1016/j.jhydrol.2018.06.069."
Zeng,3600.0,2.225,0.0451381448681547,0.0451381448681547,-7.750000000000044,-7.749999999999989,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Zeng, Zha and Yang (2018), https://doi.org/10.1016/j.jhydrol.2018.06.069."
Zeng,3600.0,2.275,0.0451396552231091,0.0451396552231091,-7.700000000000059,-7.699999999999999,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Zeng, Zha and Yang (2018), https://doi.org/10.1016/j.jhydrol.2018.06.069."
Zeng,3600.0,2.325,0.0451411920924995,0.0451411920924993,-7.649999999999928,-7.650000000007195,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Zeng, Zha and Yang (2018), https://doi.org/10.1016/j.jhydrol.2018.06.069."
Zeng,3600.0,2.375,0.045142756119681,0.045142756119681,-7.600000000000081,-7.600000000000001,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Zeng, Zha and Yang (2018), https://doi.org/10.1016/j.jhydrol.2018.06.069."
Zeng,3600.0,2.4250000000000003,0.0451443479679931,0.0451443479679931,-7.549999999999931,-7.549999999999999,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Zeng, Zha and Yang (2018), https://doi.org/10.1016/j.jhydrol.2018.06.069."
Zeng,3600.0,2.475,0.0451459683215177,0.0451459683215177,-7.500000000000023,-7.5,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Zeng, Zha and Yang (2018), https://doi.org/10.1016/j.jhydrol.2018.06.069."
Zeng,3600.0,2.5250000000000004,0.0451476178858724,0.0451476178858725,-7.450000000000051,-7.449999999997267,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Zeng, Zha and Yang (2018), https://doi.org/10.1016/j.jhydrol.2018.06.069."
Zeng,3600.0,2.575,0.0451492973890379,0.0451492973890379,-7.400000000000082,-7.40000000000003,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Zeng, Zha and Yang (2018), https://doi.org/10.1016/j.jhydrol.2018.06.069."
