benchmark,time_s,depth_m,theta_EFV,theta_reference,psi_EFV_m,psi_reference_m,reference_source
Zhi Li,32400.0,0.01,0.33,0.33,1.842547371892453e-05,1.936496675768215e-05,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Li et al. (2024), https://doi.org/10.1016/j.envsoft.2023.105900."
Zhi Li,32400.0,0.03,0.33,0.33,3.6843608116347554e-05,3.8723843792541625e-05,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Li et al. (2024), https://doi.org/10.1016/j.envsoft.2023.105900."
Zhi Li,32400.0,0.05,0.33,0.33,5.524705482131939e-05,5.807053632246176e-05,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Li et al. (2024), https://doi.org/10.1016/j.envsoft.2023.105900."
Zhi Li,32400.0,0.07,0.33,0.33,7.362844735946668e-05,7.739894090089011e-05,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Li et al. (2024), https://doi.org/10.1016/j.envsoft.2023.105900."
Zhi Li,32400.0,0.09,0.33,0.33,9.198039209360056e-05,9.670294533368612e-05,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Li et al. (2024), https://doi.org/10.1016/j.envsoft.2023.105900."
Zhi Li,32400.0,0.11,0.3299999363852558,0.3299999156473915,-5.016337127911299e-05,-6.04999617096015e-05,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Li et al. (2024), https://doi.org/10.1016/j.envsoft.2023.105900."
Zhi Li,32400.0,0.13,0.3299950192344181,0.3299946484513156,-0.0009075229592958,-0.0009518408945767,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Li et al. (2024), https://doi.org/10.1016/j.envsoft.2023.105900."
Zhi Li,32400.0,0.15,0.3299699359141578,0.3299686647411676,-0.0029945306316222,-0.003078033825075,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Li et al. (2024), https://doi.org/10.1016/j.envsoft.2023.105900."
Zhi Li,32400.0,0.17,0.3299029571389396,0.3299000574778,-0.0065218456286333,-0.0066506802451317,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Li et al. (2024), https://doi.org/10.1016/j.envsoft.2023.105900."
Zhi Li,32400.0,0.19,0.3297650501672996,0.3297595535666184,-0.0117381057719643,-0.0119200031029751,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Li et al. (2024), https://doi.org/10.1016/j.envsoft.2023.105900."
Zhi Li,32400.0,0.21,0.3295172527220126,0.3295078562896937,-0.0189537416787324,-0.0191986407252101,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Li et al. (2024), https://doi.org/10.1016/j.envsoft.2023.105900."
Zhi Li,32400.0,0.23,0.3291067357339516,0.3290916623779054,-0.0285675978468367,-0.0288885403548658,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Li et al. (2024), https://doi.org/10.1016/j.envsoft.2023.105900."
Zhi Li,32400.0,0.25,0.3284608905838597,0.3284376774672121,-0.0411055135932179,-0.0415200175785614,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Li et al. (2024), https://doi.org/10.1016/j.envsoft.2023.105900."
Zhi Li,32400.0,0.27,0.3274782574465269,0.3274434272843006,-0.0572803905958035,-0.0578126513121294,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Li et al. (2024), https://doi.org/10.1016/j.envsoft.2023.105900."
Zhi Li,32400.0,0.29,0.3260142013133505,0.325962735001501,-0.0780905203071272,-0.0787751060184704,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Li et al. (2024), https://doi.org/10.1016/j.envsoft.2023.105900."
