benchmark,figure_number,field,time_s,series,depth_m,value,reference_source
Forsyth,2,psi,0.0,Initial,0.05,0.0,Initial condition used in the authors' calculation.
Forsyth,2,psi,0.0,Initial,0.15000000000000002,0.0,Initial condition used in the authors' calculation.
Forsyth,2,psi,0.0,Initial,0.25,0.0,Initial condition used in the authors' calculation.
Forsyth,2,psi,0.0,Initial,0.35000000000000003,0.0,Initial condition used in the authors' calculation.
Forsyth,2,psi,0.0,Initial,0.45,0.0,Initial condition used in the authors' calculation.
Forsyth,2,psi,0.0,Initial,0.55,0.0,Initial condition used in the authors' calculation.
Forsyth,2,psi,0.0,Initial,0.65,0.0,Initial condition used in the authors' calculation.
Forsyth,2,psi,0.0,Initial,0.75,0.0,Initial condition used in the authors' calculation.
Forsyth,2,psi,0.0,Initial,0.8500000000000001,0.0,Initial condition used in the authors' calculation.
Forsyth,2,psi,0.0,Initial,0.9500000000000001,0.0,Initial condition used in the authors' calculation.
Forsyth,2,psi,0.0,Initial,1.05,0.0,Initial condition used in the authors' calculation.
Forsyth,2,psi,0.0,Initial,1.1500000000000001,0.0,Initial condition used in the authors' calculation.
Forsyth,2,psi,0.0,Initial,1.25,0.0,Initial condition used in the authors' calculation.
Forsyth,2,psi,0.0,Initial,1.35,0.0,Initial condition used in the authors' calculation.
Forsyth,2,psi,0.0,Initial,1.4500000000000002,0.0,Initial condition used in the authors' calculation.
Forsyth,2,psi,0.0,Initial,1.55,0.0,Initial condition used in the authors' calculation.
Forsyth,2,psi,0.0,Initial,1.6500000000000001,0.0,Initial condition used in the authors' calculation.
Forsyth,2,psi,0.0,Initial,1.75,0.0,Initial condition used in the authors' calculation.
Forsyth,2,psi,0.0,Initial,1.85,0.0,Initial condition used in the authors' calculation.
Forsyth,2,psi,0.0,Initial,1.9500000000000002,0.0,Initial condition used in the authors' calculation.
Forsyth,2,psi,0.0,Initial,2.0500000000000003,0.0,Initial condition used in the authors' calculation.
Forsyth,2,psi,0.0,Initial,2.15,0.0,Initial condition used in the authors' calculation.
Forsyth,2,psi,0.0,Initial,2.25,0.0,Initial condition used in the authors' calculation.
Forsyth,2,psi,0.0,Initial,2.35,0.0,Initial condition used in the authors' calculation.
Forsyth,2,psi,0.0,Initial,2.45,0.0,Initial condition used in the authors' calculation.
Forsyth,2,psi,0.0,Initial,2.5500000000000003,0.0,Initial condition used in the authors' calculation.
Forsyth,2,psi,0.0,Initial,2.6500000000000004,0.0,Initial condition used in the authors' calculation.
Forsyth,2,psi,0.0,Initial,2.75,0.0,Initial condition used in the authors' calculation.
Forsyth,2,psi,0.0,Initial,2.85,0.0,Initial condition used in the authors' calculation.
Forsyth,2,psi,0.0,Initial,2.95,0.0,Initial condition used in the authors' calculation.
Forsyth,2,psi,0.0,Initial,3.0500000000000003,0.0,Initial condition used in the authors' calculation.
Forsyth,2,psi,0.0,Initial,3.1500000000000004,0.0,Initial condition used in the authors' calculation.
Forsyth,2,psi,0.0,Initial,3.25,0.0,Initial condition used in the authors' calculation.
Forsyth,2,psi,0.0,Initial,3.35,0.0,Initial condition used in the authors' calculation.
Forsyth,2,psi,0.0,Initial,3.45,0.0,Initial condition used in the authors' calculation.
Forsyth,2,psi,0.0,Initial,3.5500000000000003,0.0,Initial condition used in the authors' calculation.
