benchmark,figure_number,field,time_s,series,depth_m,value,reference_source
Warrick,4,psi,0.0,Initial,0.025,0.0,Initial condition used in the authors' calculation.
Warrick,4,psi,0.0,Initial,0.07500000000000001,-2.0,Initial condition used in the authors' calculation.
Warrick,4,psi,0.0,Initial,0.125,-2.0,Initial condition used in the authors' calculation.
Warrick,4,psi,0.0,Initial,0.17500000000000002,-2.0,Initial condition used in the authors' calculation.
Warrick,4,psi,0.0,Initial,0.225,-2.0,Initial condition used in the authors' calculation.
Warrick,4,psi,0.0,Initial,0.275,-2.0,Initial condition used in the authors' calculation.
Warrick,4,psi,0.0,Initial,0.325,-2.0,Initial condition used in the authors' calculation.
Warrick,4,psi,0.0,Initial,0.375,-2.0,Initial condition used in the authors' calculation.
Warrick,4,psi,0.0,Initial,0.42500000000000004,-2.0,Initial condition used in the authors' calculation.
Warrick,4,psi,0.0,Initial,0.47500000000000003,-2.0,Initial condition used in the authors' calculation.
Warrick,4,psi,0.0,Initial,0.525,-2.0,Initial condition used in the authors' calculation.
Warrick,4,psi,0.0,Initial,0.5750000000000001,-2.0,Initial condition used in the authors' calculation.
Warrick,4,psi,0.0,Initial,0.625,-2.0,Initial condition used in the authors' calculation.
Warrick,4,psi,0.0,Initial,0.675,-2.0,Initial condition used in the authors' calculation.
Warrick,4,psi,0.0,Initial,0.7250000000000001,-2.0,Initial condition used in the authors' calculation.
Warrick,4,psi,0.0,Initial,0.775,-2.0,Initial condition used in the authors' calculation.
Warrick,4,psi,0.0,Initial,0.8250000000000001,-2.0,Initial condition used in the authors' calculation.
Warrick,4,psi,0.0,Initial,0.875,-2.0,Initial condition used in the authors' calculation.
Warrick,4,psi,0.0,Initial,0.925,-2.0,Initial condition used in the authors' calculation.
Warrick,4,psi,0.0,Initial,0.9750000000000001,-2.0,Initial condition used in the authors' calculation.
Warrick,4,psi,0.0,Initial,1.0250000000000001,-2.0,Initial condition used in the authors' calculation.
Warrick,4,psi,0.0,Initial,1.075,-2.0,Initial condition used in the authors' calculation.
Warrick,4,psi,0.0,Initial,1.125,-2.0,Initial condition used in the authors' calculation.
Warrick,4,psi,0.0,Initial,1.175,-2.0,Initial condition used in the authors' calculation.
Warrick,4,psi,0.0,Initial,1.225,-2.0,Initial condition used in the authors' calculation.
Warrick,4,psi,1000800.0,EFV,0.025,5.621582410041026e-05,
