benchmark,figure_number,field,time_s,series,depth_m,value,reference_source
Zhi Li,6,psi,0.0,Initial,0.01,0.0,Initial condition used in the authors' calculation.
Zhi Li,6,psi,0.0,Initial,0.03,-42.65,Initial condition used in the authors' calculation.
Zhi Li,6,psi,0.0,Initial,0.05,-42.65,Initial condition used in the authors' calculation.
Zhi Li,6,psi,0.0,Initial,0.07,-42.65,Initial condition used in the authors' calculation.
Zhi Li,6,psi,0.0,Initial,0.09,-42.65,Initial condition used in the authors' calculation.
Zhi Li,6,psi,0.0,Initial,0.11,-42.65,Initial condition used in the authors' calculation.
Zhi Li,6,psi,0.0,Initial,0.13,-42.65,Initial condition used in the authors' calculation.
Zhi Li,6,psi,0.0,Initial,0.15,-42.65,Initial condition used in the authors' calculation.
Zhi Li,6,psi,0.0,Initial,0.17,-42.65,Initial condition used in the authors' calculation.
Zhi Li,6,psi,0.0,Initial,0.19,-42.65,Initial condition used in the authors' calculation.
Zhi Li,6,psi,0.0,Initial,0.21,-42.65,Initial condition used in the authors' calculation.
Zhi Li,6,psi,0.0,Initial,0.23,-42.65,Initial condition used in the authors' calculation.
Zhi Li,6,psi,0.0,Initial,0.25,-42.65,Initial condition used in the authors' calculation.
Zhi Li,6,psi,0.0,Initial,0.27,-42.65,Initial condition used in the authors' calculation.
Zhi Li,6,psi,0.0,Initial,0.29,-42.65,Initial condition used in the authors' calculation.
Zhi Li,6,psi,0.0,Initial,0.31,-42.65,Initial condition used in the authors' calculation.
Zhi Li,6,psi,0.0,Initial,0.33,-42.65,Initial condition used in the authors' calculation.
Zhi Li,6,psi,0.0,Initial,0.35000000000000003,-42.65,Initial condition used in the authors' calculation.
Zhi Li,6,psi,0.0,Initial,0.37,-42.65,Initial condition used in the authors' calculation.
Zhi Li,6,psi,0.0,Initial,0.39,-42.65,Initial condition used in the authors' calculation.
Zhi Li,6,psi,0.0,Initial,0.41000000000000003,-42.65,Initial condition used in the authors' calculation.
Zhi Li,6,psi,0.0,Initial,0.43,-42.65,Initial condition used in the authors' calculation.
Zhi Li,6,psi,0.0,Initial,0.45,-42.65,Initial condition used in the authors' calculation.
Zhi Li,6,psi,0.0,Initial,0.47000000000000003,-42.65,Initial condition used in the authors' calculation.
Zhi Li,6,psi,0.0,Initial,0.49,-42.65,Initial condition used in the authors' calculation.
Zhi Li,6,psi,0.0,Initial,0.51,-42.65,Initial condition used in the authors' calculation.
Zhi Li,6,psi,0.0,Initial,0.53,-42.65,Initial condition used in the authors' calculation.
Zhi Li,6,psi,0.0,Initial,0.55,-42.65,Initial condition used in the authors' calculation.
Zhi Li,6,psi,0.0,Initial,0.5700000000000001,-42.65,Initial condition used in the authors' calculation.
Zhi Li,6,psi,0.0,Initial,0.59,-42.65,Initial condition used in the authors' calculation.
Zhi Li,6,psi,0.0,Initial,0.61,-42.65,Initial condition used in the authors' calculation.
Zhi Li,6,psi,0.0,Initial,0.63,-42.65,Initial condition used in the authors' calculation.
Zhi Li,6,psi,0.0,Initial,0.65,-42.65,Initial condition used in the authors' calculation.
Zhi Li,6,psi,0.0,Initial,0.67,-42.65,Initial condition used in the authors' calculation.
Zhi Li,6,psi,0.0,Initial,0.6900000000000001,-42.65,Initial condition used in the authors' calculation.
Zhi Li,6,psi,0.0,Initial,0.71,-42.65,Initial condition used in the authors' calculation.
Zhi Li,6,psi,0.0,Initial,0.73,-42.65,Initial condition used in the authors' calculation.
Zhi Li,6,psi,0.0,Initial,0.75,-42.65,Initial condition used in the authors' calculation.
Zhi Li,6,psi,0.0,Initial,0.77,-42.65,Initial condition used in the authors' calculation.
Zhi Li,6,psi,0.0,Initial,0.79,-42.65,Initial condition used in the authors' calculation.
Zhi Li,6,psi,0.0,Initial,0.81,-42.65,Initial condition used in the authors' calculation.
Zhi Li,6,psi,0.0,Initial,0.8300000000000001,-42.65,Initial condition used in the authors' calculation.
Zhi Li,6,psi,0.0,Initial,0.85,-42.65,Initial condition used in the authors' calculation.
Zhi Li,6,psi,0.0,Initial,0.87,-42.65,Initial condition used in the authors' calculation.
Zhi Li,6,psi,0.0,Initial,0.89,-42.65,Initial condition used in the authors' calculation.
Zhi Li,6,psi,0.0,Initial,0.91,-42.65,Initial condition used in the authors' calculation.
Zhi Li,6,psi,0.0,Initial,0.93,-42.65,Initial condition used in the authors' calculation.
Zhi Li,6,psi,0.0,Initial,0.9500000000000001,-42.65,Initial condition used in the authors' calculation.
Zhi Li,6,psi,0.0,Initial,0.97,-42.65,Initial condition used in the authors' calculation.
Zhi Li,6,psi,0.0,Initial,0.99,-42.65,Initial condition used in the authors' calculation.
Zhi Li,6,psi,32400.0,EFV,0.01,1.842547371892453e-05,
Zhi Li,6,psi,32400.0,EFV,0.03,3.6843608116347554e-05,
Zhi Li,6,psi,32400.0,EFV,0.05,5.524705482131939e-05,
Zhi Li,6,psi,32400.0,EFV,0.07,7.362844735946668e-05,
Zhi Li,6,psi,32400.0,EFV,0.09,9.198039209360056e-05,
Zhi Li,6,psi,32400.0,EFV,0.11,-5.016337127911299e-05,
Zhi Li,6,psi,32400.0,EFV,0.13,-0.0009075229592958,
Zhi Li,6,psi,32400.0,EFV,0.15,-0.0029945306316222,
Zhi Li,6,psi,32400.0,EFV,0.17,-0.0065218456286333,
