benchmark,figure_number,field,time_s,series,depth_m,value,reference_source
Caviedes,9,psi,0.0,Initial,0.01,-0.2,Initial condition used in the authors' calculation.
Caviedes,9,psi,0.0,Initial,0.03,-0.2,Initial condition used in the authors' calculation.
Caviedes,9,psi,0.0,Initial,0.05,-0.2,Initial condition used in the authors' calculation.
Caviedes,9,psi,0.0,Initial,0.07,-0.2,Initial condition used in the authors' calculation.
Caviedes,9,psi,0.0,Initial,0.09,-0.2,Initial condition used in the authors' calculation.
Caviedes,9,psi,0.0,Initial,0.11,-0.2,Initial condition used in the authors' calculation.
Caviedes,9,psi,0.0,Initial,0.13,-0.2,Initial condition used in the authors' calculation.
Caviedes,9,psi,0.0,Initial,0.15,-0.2,Initial condition used in the authors' calculation.
Caviedes,9,psi,0.0,Initial,0.17,-0.2,Initial condition used in the authors' calculation.
Caviedes,9,psi,0.0,Initial,0.19,-0.2,Initial condition used in the authors' calculation.
Caviedes,9,psi,0.0,Initial,0.21,-0.2,Initial condition used in the authors' calculation.
Caviedes,9,psi,0.0,Initial,0.23,-0.2,Initial condition used in the authors' calculation.
Caviedes,9,psi,0.0,Initial,0.25,-0.2,Initial condition used in the authors' calculation.
Caviedes,9,psi,0.0,Initial,0.27,-0.2,Initial condition used in the authors' calculation.
Caviedes,9,psi,0.0,Initial,0.29,-0.2,Initial condition used in the authors' calculation.
Caviedes,9,psi,0.0,Initial,0.31,-0.2,Initial condition used in the authors' calculation.
Caviedes,9,psi,0.0,Initial,0.33,-0.2,Initial condition used in the authors' calculation.
Caviedes,9,psi,0.0,Initial,0.35000000000000003,-0.2,Initial condition used in the authors' calculation.
Caviedes,9,psi,0.0,Initial,0.37,-0.2,Initial condition used in the authors' calculation.
Caviedes,9,psi,0.0,Initial,0.39,-0.2,Initial condition used in the authors' calculation.
Caviedes,9,psi,0.0,Initial,0.41000000000000003,-0.2,Initial condition used in the authors' calculation.
Caviedes,9,psi,0.0,Initial,0.43,-0.2,Initial condition used in the authors' calculation.
Caviedes,9,psi,0.0,Initial,0.45,-0.2,Initial condition used in the authors' calculation.
Caviedes,9,psi,0.0,Initial,0.47000000000000003,-0.2,Initial condition used in the authors' calculation.
Caviedes,9,psi,0.0,Initial,0.49,-0.2,Initial condition used in the authors' calculation.
Caviedes,9,psi,0.0,Initial,0.51,-0.2,Initial condition used in the authors' calculation.
Caviedes,9,psi,0.0,Initial,0.53,-0.2,Initial condition used in the authors' calculation.
Caviedes,9,psi,0.0,Initial,0.55,-0.2,Initial condition used in the authors' calculation.
Caviedes,9,psi,0.0,Initial,0.5700000000000001,-0.2,Initial condition used in the authors' calculation.
Caviedes,9,psi,0.0,Initial,0.59,-0.2,Initial condition used in the authors' calculation.
Caviedes,9,psi,0.0,Initial,0.61,-0.2,Initial condition used in the authors' calculation.
Caviedes,9,psi,0.0,Initial,0.63,-0.2,Initial condition used in the authors' calculation.
Caviedes,9,psi,0.0,Initial,0.65,-0.2,Initial condition used in the authors' calculation.
Caviedes,9,psi,0.0,Initial,0.67,-0.2,Initial condition used in the authors' calculation.
Caviedes,9,psi,0.0,Initial,0.6900000000000001,-0.2,Initial condition used in the authors' calculation.
Caviedes,9,psi,0.0,Initial,0.71,-0.2,Initial condition used in the authors' calculation.
Caviedes,9,psi,0.0,Initial,0.73,-0.2,Initial condition used in the authors' calculation.
Caviedes,9,psi,0.0,Initial,0.75,-0.2,Initial condition used in the authors' calculation.
Caviedes,9,psi,0.0,Initial,0.77,-0.2,Initial condition used in the authors' calculation.
Caviedes,9,psi,0.0,Initial,0.79,-0.2,Initial condition used in the authors' calculation.
Caviedes,9,psi,0.0,Initial,0.81,-0.2,Initial condition used in the authors' calculation.
Caviedes,9,psi,0.0,Initial,0.8300000000000001,-0.2,Initial condition used in the authors' calculation.
Caviedes,9,psi,0.0,Initial,0.85,-0.2,Initial condition used in the authors' calculation.
Caviedes,9,psi,0.0,Initial,0.87,-0.2,Initial condition used in the authors' calculation.
Caviedes,9,psi,0.0,Initial,0.89,-0.2,Initial condition used in the authors' calculation.
Caviedes,9,psi,0.0,Initial,0.91,-0.2,Initial condition used in the authors' calculation.
Caviedes,9,psi,0.0,Initial,0.93,-0.2,Initial condition used in the authors' calculation.
Caviedes,9,psi,0.0,Initial,0.9500000000000001,-0.2,Initial condition used in the authors' calculation.
Caviedes,9,psi,0.0,Initial,0.97,-0.2,Initial condition used in the authors' calculation.
Caviedes,9,psi,0.0,Initial,0.99,-0.2,Initial condition used in the authors' calculation.
Caviedes,9,psi,7200.0,EFV,0.01,-0.5811144589895633,
Caviedes,9,psi,7200.0,EFV,0.03,-0.5616262925578002,
Caviedes,9,psi,7200.0,EFV,0.05,-0.5425317899586625,
Caviedes,9,psi,7200.0,EFV,0.07,-0.523719567111411,
Caviedes,9,psi,7200.0,EFV,0.09,-0.5050889756344861,
Caviedes,9,psi,7200.0,EFV,0.11,-0.4865525180491183,
Caviedes,9,psi,7200.0,EFV,0.13,-0.468037108446007,
Caviedes,9,psi,7200.0,EFV,0.15,-0.4494844184955961,
Caviedes,9,psi,7200.0,EFV,0.17,-0.430850476048676,
Caviedes,9,psi,7200.0,EFV,0.19,-0.4121046579224047,
Caviedes,9,psi,7200.0,EFV,0.21,-0.3932282188950066,
Caviedes,9,psi,7200.0,EFV,0.23,-0.3742125074935015,
Caviedes,9,psi,7200.0,EFV,0.25,-0.355057022842829,
Caviedes,9,psi,7200.0,EFV,0.27,-0.3357674587298777,
Caviedes,9,psi,7200.0,EFV,0.29,-0.3163538599150434,
Caviedes,9,psi,7200.0,EFV,0.31,-0.2968289847519273,
Caviedes,9,psi,7200.0,EFV,0.33,-0.2772069327359941,
Caviedes,9,psi,7200.0,EFV,0.35,-0.2575020612733851,
Caviedes,9,psi,7200.0,EFV,0.37,-0.2377281870434103,
Caviedes,9,psi,7200.0,EFV,0.39,-0.2178980461942462,
Caviedes,9,psi,7200.0,EFV,0.41,-0.1980229747440772,
Caviedes,9,psi,7200.0,EFV,0.43,-0.1781127650486637,
Caviedes,9,psi,7200.0,EFV,0.45,-0.1581756543603181,
Caviedes,9,psi,7200.0,EFV,0.47,-0.1382184054572449,
Caviedes,9,psi,7200.0,EFV,0.49,-0.118246445357915,
Caviedes,9,psi,7200.0,EFV,0.51,-0.0982640349240808,
Caviedes,9,psi,7200.0,EFV,0.53,-0.0782744487918407,
Caviedes,9,psi,7200.0,EFV,0.55,-0.0582801510264753,
Caviedes,9,psi,7200.0,EFV,0.5700000000000001,-0.0382829569297205,
Caviedes,9,psi,7200.0,EFV,0.59,-0.0182841754841809,
Caviedes,9,psi,7200.0,EFV,0.61,0.0017152665599476,
Caviedes,9,psi,7200.0,EFV,0.63,0.0217147681142249,
Caviedes,9,psi,7200.0,EFV,0.65,0.0417142958827074,
Caviedes,9,psi,7200.0,EFV,0.67,0.0617138498686018,
Caviedes,9,psi,7200.0,EFV,0.6900000000000001,0.0817134300749372,
Caviedes,9,psi,7200.0,EFV,0.71,0.1017130365045647,
Caviedes,9,psi,7200.0,EFV,0.73,0.1217126691601572,
Caviedes,9,psi,7200.0,EFV,0.75,0.1417123280442097,
