benchmark,figure_number,field,time_s,series,depth_m,value,reference_source
Miller,10,psi,0.0,Initial,0.025,0.1,Initial condition used in the authors' calculation.
Miller,10,psi,0.0,Initial,0.07500000000000001,-4.9,Initial condition used in the authors' calculation.
Miller,10,psi,0.0,Initial,0.125,-4.8500000000000005,Initial condition used in the authors' calculation.
Miller,10,psi,0.0,Initial,0.17500000000000002,-4.8,Initial condition used in the authors' calculation.
Miller,10,psi,0.0,Initial,0.225,-4.75,Initial condition used in the authors' calculation.
Miller,10,psi,0.0,Initial,0.275,-4.7,Initial condition used in the authors' calculation.
Miller,10,psi,0.0,Initial,0.325,-4.65,Initial condition used in the authors' calculation.
Miller,10,psi,0.0,Initial,0.375,-4.6000000000000005,Initial condition used in the authors' calculation.
Miller,10,psi,0.0,Initial,0.42500000000000004,-4.55,Initial condition used in the authors' calculation.
Miller,10,psi,0.0,Initial,0.47500000000000003,-4.5,Initial condition used in the authors' calculation.
Miller,10,psi,0.0,Initial,0.525,-4.45,Initial condition used in the authors' calculation.
Miller,10,psi,0.0,Initial,0.5750000000000001,-4.4,Initial condition used in the authors' calculation.
Miller,10,psi,0.0,Initial,0.625,-4.35,Initial condition used in the authors' calculation.
Miller,10,psi,0.0,Initial,0.675,-4.3,Initial condition used in the authors' calculation.
Miller,10,psi,0.0,Initial,0.7250000000000001,-4.25,Initial condition used in the authors' calculation.
Miller,10,psi,0.0,Initial,0.775,-4.2,Initial condition used in the authors' calculation.
Miller,10,psi,0.0,Initial,0.8250000000000001,-4.15,Initial condition used in the authors' calculation.
Miller,10,psi,0.0,Initial,0.875,-4.1,Initial condition used in the authors' calculation.
Miller,10,psi,0.0,Initial,0.925,-4.05,Initial condition used in the authors' calculation.
Miller,10,psi,0.0,Initial,0.9750000000000001,-4.0,Initial condition used in the authors' calculation.
Miller,10,psi,0.0,Initial,1.0250000000000001,-3.95,Initial condition used in the authors' calculation.
Miller,10,psi,0.0,Initial,1.075,-3.9000000000000004,Initial condition used in the authors' calculation.
Miller,10,psi,0.0,Initial,1.125,-3.85,Initial condition used in the authors' calculation.
Miller,10,psi,0.0,Initial,1.175,-3.8,Initial condition used in the authors' calculation.
Miller,10,psi,0.0,Initial,1.225,-3.75,Initial condition used in the authors' calculation.
Miller,10,psi,0.0,Initial,1.2750000000000001,-3.7,Initial condition used in the authors' calculation.
Miller,10,psi,0.0,Initial,1.3250000000000002,-3.6500000000000004,Initial condition used in the authors' calculation.
Miller,10,psi,0.0,Initial,1.375,-3.6,Initial condition used in the authors' calculation.
Miller,10,psi,0.0,Initial,1.425,-3.55,Initial condition used in the authors' calculation.
Miller,10,psi,0.0,Initial,1.475,-3.5,Initial condition used in the authors' calculation.
Miller,10,psi,0.0,Initial,1.5250000000000001,-3.45,Initial condition used in the authors' calculation.
Miller,10,psi,0.0,Initial,1.5750000000000002,-3.4000000000000004,Initial condition used in the authors' calculation.
Miller,10,psi,0.0,Initial,1.625,-3.35,Initial condition used in the authors' calculation.
Miller,10,psi,0.0,Initial,1.675,-3.3,Initial condition used in the authors' calculation.
Miller,10,psi,0.0,Initial,1.725,-3.25,Initial condition used in the authors' calculation.
Miller,10,psi,0.0,Initial,1.7750000000000001,-3.2,Initial condition used in the authors' calculation.
