benchmark,figure_number,field,time_s,series,depth_m,value,reference_source
Hills,11,theta,0.0,Initial,0.005,0.028913226117849827,Initial condition used in the authors' calculation.
Hills,11,theta,0.0,Initial,0.015,0.028913226117849827,Initial condition used in the authors' calculation.
Hills,11,theta,0.0,Initial,0.025,0.028913226117849827,Initial condition used in the authors' calculation.
Hills,11,theta,0.0,Initial,0.035,0.028913226117849827,Initial condition used in the authors' calculation.
Hills,11,theta,0.0,Initial,0.045,0.028913226117849827,Initial condition used in the authors' calculation.
Hills,11,theta,0.0,Initial,0.055,0.028913226117849827,Initial condition used in the authors' calculation.
Hills,11,theta,0.0,Initial,0.065,0.028913226117849827,Initial condition used in the authors' calculation.
Hills,11,theta,0.0,Initial,0.075,0.028913226117849827,Initial condition used in the authors' calculation.
Hills,11,theta,0.0,Initial,0.085,0.028913226117849827,Initial condition used in the authors' calculation.
Hills,11,theta,0.0,Initial,0.095,0.028913226117849827,Initial condition used in the authors' calculation.
Hills,11,theta,0.0,Initial,0.105,0.028913226117849827,Initial condition used in the authors' calculation.
Hills,11,theta,0.0,Initial,0.115,0.028913226117849827,Initial condition used in the authors' calculation.
Hills,11,theta,0.0,Initial,0.125,0.028913226117849827,Initial condition used in the authors' calculation.
Hills,11,theta,0.0,Initial,0.135,0.028913226117849827,Initial condition used in the authors' calculation.
Hills,11,theta,0.0,Initial,0.145,0.028913226117849827,Initial condition used in the authors' calculation.
Hills,11,theta,0.0,Initial,0.155,0.028913226117849827,Initial condition used in the authors' calculation.
Hills,11,theta,0.0,Initial,0.165,0.028913226117849827,Initial condition used in the authors' calculation.
Hills,11,theta,0.0,Initial,0.17500000000000002,0.028913226117849827,Initial condition used in the authors' calculation.
Hills,11,theta,0.0,Initial,0.185,0.028913226117849827,Initial condition used in the authors' calculation.
Hills,11,theta,0.0,Initial,0.195,0.028913226117849827,Initial condition used in the authors' calculation.
Hills,11,theta,0.0,Initial,0.20500000000000002,0.16377026456772065,Initial condition used in the authors' calculation.
