benchmark,grid_cells,dz_m,simulated_time_s,accepted_steps,final_dt_s,minimum_dt_s,maximum_dt_s,execution_time_s,cpu_cost_s_per_simulated_day,initial_storage,final_storage,boundary_integral,mass_balance_error,relative_mass_balance_error_percent
Forsyth,60,0.1,8640000.0,217117,14.623823940753937,0.01,41.016714984969376,28.51227355003357,0.2851227355003357,1.9799999999999995,1.2201893656306324,-0.7598106343719889,2.621791672652307e-12,3.450585651277852e-10
Celia,20,0.05,21600.0,2158,5.087586249643209,0.01,15.94294436042494,0.10822701454162598,0.4329080581665039,0.11445821423502188,0.12786913291097587,0.013410918675954073,-7.806255641895632e-17,5.820761755641589e-13
Warrick,25,0.05,1000800.0,51083,2.2656574946595356,0.01,270.01464613762107,2.926673650741577,0.252662473445316,0.407967943026621,0.542602847685991,0.1346352805007904,-3.758414204024785e-07,0.00027793851354824135
Warrick2,20,0.05,46800.0,14029,0.25456189343094593,0.005842482209208798,10.961120835263886,0.7837390899658203,1.4469029353215146,0.24992301057126928,0.31223986006385424,0.06231686633736766,-1.6844782707581274e-08,2.702630712970228e-05
Zhi Li,50,0.02,32400.0,188719,0.026101918127096724,0.00045679495599685726,1.6817047825973297,19.851266384124756,52.936710357666016,0.04697405416896577,0.16907225182071747,0.12209821421915933,-1.6567407626344455e-08,1.3568915394245787e-05
Zeng,200,0.05,3600.0,431,3.351725765086485,0.01,21.37172407176462,2.0737409591674805,49.76978302001953,0.5171244144966524,0.6537590168624998,0.13663460236584643,1.0269562977782698e-15,6.285330092701213e-13
Zadeh,30,0.02,18000.0,1865,1.0838725073699607,0.01,22.938373404673946,0.13608002662658691,0.6531841278076171,0.04792008843990561,0.0812525215914727,0.03333243315156721,-1.249000902703301e-16,3.747103900330691e-13
Caviedes,50,0.02,7200.0,2544811,0.002876887256206828,2.4302132188035665e-06,0.2629811936296973,176.38643527030945,2116.6372232437134,0.3229848141402773,0.32275475971954753,0.0,-0.0002300544207297639,
Miller,100,0.05,194400.0,298583,0.39004931040108204,0.01,16.29312868202801,47.98395586013794,21.326202604505752,1.0454818073082435,1.6925801750155474,0.6474326321479452,-0.00033426444064132976,0.050690180064275114
Hills,100,0.01,432000.0,1223997,0.03115929156774655,0.0003802480522864859,8479.384227372877,158.79858875274658,31.759717750549317,0.08285604149779811,0.18286404149446372,0.10000799999722364,-5.580258477522193e-13,5.579812092399652e-10
