benchmark,comparison_time_s,theta_relative_L2_percent,theta_maximum_absolute_error,psi_relative_L2_percent,psi_maximum_absolute_error_m
Forsyth,8640000.0,0.005047609540096341,1.3269239004798372e-05,0.015393358867759986,0.00040713258122382356
Celia,21600.0,0.03926009202988398,0.00014172877455440047,0.04939680732189687,0.01579193816812685
Warrick,1000800.0,0.02021372839368796,0.00031663017979266517,0.09332369938252219,0.004008914431196331
Warrick2,46800.0,0.03219394835564378,0.000304129687971999,0.1198631010227895,0.022947232120353878
Zhi Li,32400.0,0.22980647363103515,0.0023911426164461014,0.6034221302173077,1.2859574794458979
Zadeh,18000.0,0.19337192516816837,0.0015426976721764907,0.041261667621994444,0.357794085511415
Zeng,3600.0,0.052247635824641675,0.0005488977802720618,0.24072282493094244,0.1808608575348316
Caviedes,7200.0,0.0035442185794747278,2.6120485071612354e-05,0.021000696475603823,0.0001561641748742959
Miller,194400.0,0.024519627740028242,0.0007123149497949011,0.11953653048342551,0.011443627521673605
Hills,432000.0,0.01555211966341616,0.00027948104917391303,0.13530253531054484,0.7756228205913516
