benchmark,grid_cells,dz_m,simulated_time_s,accepted_steps,final_dt_s,minimum_dt_s,maximum_dt_s,execution_time_s,cpu_cost_s_per_simulated_day,initial_storage,final_storage,boundary_integral,mass_balance_error,relative_mass_balance_error_percent
Forsyth,60,0.1,8640000.0,217117,14.623823940753937,0.01,41.016714984969376,28.51227355003357,0.2851227355003357,1.9799999999999995,1.2201893656306324,-0.7598106343719889,2.6217916726523068e-12,3.4505856512778515e-10
Celia,20,0.05,21600.0,2158,5.087586249643209,0.01,15.94294436042494,0.1082270145416259,0.4329080581665039,0.1144582142350218,0.1278691329109758,0.013410918675954,-7.806255641895632e-17,5.820761755641589e-13
Warrick,25,0.05,1000800.0,51083,2.265657494659536,0.01,270.01464613762107,2.926673650741577,0.252662473445316,0.407967943026621,0.542602847685991,0.1346352805007904,-3.758414204024785e-07,0.0002779385135482
Warrick2,20,0.05,46800.0,14029,0.2545618934309459,0.0058424822092087,10.961120835263886,0.7837390899658203,1.4469029353215146,0.2499230105712692,0.3122398600638542,0.0623168663373676,-1.6844782707581274e-08,2.702630712970228e-05
Zhi Li,50,0.02,32400.0,188719,0.0261019181270967,0.0004567949559968,1.6817047825973297,19.85126638412476,52.936710357666016,0.0469740541689657,0.1690722518207174,0.1220982142191593,-1.6567407626344455e-08,1.3568915394245787e-05
Zeng,200,0.05,3600.0,431,3.351725765086485,0.01,21.37172407176462,2.0737409591674805,49.76978302001953,0.5171244144966524,0.6537590168624998,0.1366346023658464,1.0269562977782698e-15,6.285330092701213e-13
Zadeh,30,0.02,18000.0,1865,1.0838725073699609,0.01,22.938373404673943,0.1360800266265869,0.6531841278076171,0.0479200884399056,0.0812525215914727,0.0333324331515672,-1.249000902703301e-16,3.747103900330691e-13
Caviedes,50,0.02,7200.0,2544811,0.0028768872562068,2.4302132188035665e-06,0.2629811936296973,176.38643527030945,2116.6372232437134,0.3229848141402773,0.3227547597195475,0.0,-0.0002300544207297,
Miller,100,0.05,194400.0,298583,0.390049310401082,0.01,16.29312868202801,47.98395586013794,21.326202604505752,1.0454818073082437,1.6925801750155474,0.6474326321479452,-0.0003342644406413,0.0506901800642751
Hills,100,0.01,432000.0,1223997,0.0311592915677465,0.0003802480522864,8479.384227372877,158.79858875274658,31.75971775054932,0.0828560414977981,0.1828640414944637,0.1000079999972236,-5.580258477522193e-13,5.579812092399651e-10
